"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Ghana",7,"Jan",2009,24,"Jul",2012,FALSE,TRUE,"John Evans Atta Mills"
"Ghana",24,"Jul",2012,7,"Jan",2017,FALSE,FALSE,"John Dramani Mahama"
"Ghana",7,"Jan",2017,NA,NA,NA,FALSE,FALSE,"Nana Addo Dankwa Akufo-Addo"
"Guinea Bissau",24,"Sep",1973,14,"Nov",1980,FALSE,FALSE,"Luis Severino de Almeida Cabral"
"Guinea Bissau",14,"Nov",1980,14,"May",1984,FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau",14,"May",1984,16,"May",1984,FALSE,FALSE,"Carmen Pereira"
"Guinea Bissau",16,"May",1984,7,"May",1999,FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau",7,"May",1999,14,"May",1999,FALSE,TRUE,"Ansumane Mane"
"Guinea Bissau",14,"May",1999,17,"Feb",2000,FALSE,FALSE,"Malam Bacai Sanha"
"Guinea Bissau",17,"Feb",2000,14,"Sep",2003,FALSE,FALSE,"Kumba Iala"
"Guinea Bissau",14,"Sep",2003,28,"Sep",2003,FALSE,TRUE,"Verissimo Correia Seabra"
"Guinea Bissau",28,"Sep",2003,1,"Oct",2005,FALSE,FALSE,"Henrique Pereira Rosa"
"Guinea Bissau",1,"Oct",2005,2,"Mar",2009,FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau",3,"Mar",2009,8,"Sep",2009,FALSE,FALSE,"Raimundo Perreira"
"Guinea Bissau",8,"Sep",2009,9,"Jan",2012,FALSE,FALSE,"Malam Bacai Sanha"
"Guinea Bissau",9,"Jan",2012,12,"Apr",2012,FALSE,FALSE,"Raimundo Perreira"
"Guinea Bissau",12,"Apr",2012,10,"May",2012,FALSE,TRUE,"Mamadu Ture Kuruma"
"Guinea Bissau",10,"May",2012,23,"Jun",2014,FALSE,FALSE,"Manuel Serifo Nhamadjo"
"Guinea Bissau",23,"Jun",2014,NA,NA,NA,FALSE,FALSE,"Jose Mario Vaz"
"Guinea",2,"Oct",1958,26,"Mar",1984,FALSE,FALSE,"Ahmed Sekou Toure"
"Guinea",27,"Mar",1984,3,"Apr",1984,FALSE,FALSE,"Louis Lansana Beavogui"
"Guinea",3,"Apr",1984,22,"Dec",2008,FALSE,TRUE,"Lansana Conte"
"Guinea",22,"Dec",2008,23,"Dec",2008,FALSE,FALSE,"Aboubacar Sompare"
"Guinea",23,"Dec",2008,21,"Dec",2010,FALSE,TRUE,"Moussa Dadis Camara"
"Guinea",5,"Dec",2009,21,"Dec",2010,FALSE,TRUE,"Sekouba Konate"
"Guinea",21,"Dec",2010,NA,NA,NA,FALSE,FALSE,"Alpha Conde"
"Liberia",3,"Jan",1848,7,"Jan",1856,FALSE,FALSE,"Joseph Jenkins Roberts"
"Liberia",7,"Jan",1856,4,"Jan",1864,FALSE,FALSE,"Stephen Allen Benson"
"Liberia",4,"Jan",1864,6,"Jan",1868,FALSE,FALSE,"Daniel Bashiel Warner"
"Liberia",6,"Jan",1868,3,"Jan",1870,FALSE,FALSE,"James Spriggs Payne"
"Liberia",3,"Jan",1870,26,"Oct",1871,FALSE,FALSE,"Edward James Roye"
"Liberia",26,"Oct",1871,4,"Nov",1871,FALSE,FALSE,"Charles Benedict Dunbar"
"Liberia",26,"Oct",1871,4,"Nov",1871,FALSE,FALSE,"Reginald A"
"Liberia",26,"Oct",1871,4,"Nov",1871,FALSE,FALSE,"Amos Herring"
"Liberia",4,"Nov",1871,1,"Jan",1872,FALSE,FALSE,"James Skivring Smith"
"Liberia",1,"Jan",1872,3,"Jan",1876,FALSE,FALSE,"Joseph Jenkins Roberts"
"Liberia",3,"Jan",1876,7,"Jan",1878,FALSE,FALSE,"James Spriggs Payne"
"Liberia",7,"Jan",1878,20,"Jan",1883,FALSE,FALSE,"Anthony William Gerdner"
"Liberia",20,"Jan",1883,7,"Jan",1884,FALSE,FALSE,"Alfred Francis Russell"
"Liberia",7,"Jan",1884,4,"Jan",1892,FALSE,FALSE,"Hilary Richard Wright Johnson"
"Liberia",4,"Jan",1892,12,"Nov",1896,FALSE,FALSE,"Joseph James Cheeseman"
"Liberia",12,"Nov",1896,11,"Dec",1900,FALSE,FALSE,"William David Coleman"
"Liberia",11,"Dec",1900,4,"Jan",1904,FALSE,FALSE,"Garretson Wilmot Gibson"
"Liberia",4,"Jan",1904,1,"Jan",1912,FALSE,FALSE,"Arthur Barclay"
"Liberia",1,"Jan",1912,5,"Jan",1920,FALSE,FALSE,"Daniel Edward Howard"
"Liberia",5,"Jan",1920,3,"Dec",1930,FALSE,FALSE,"Charles Dunbar Burgess King"
"Liberia",3,"Dec",1930,3,"Jan",1944,FALSE,FALSE,"Edwin James Barclay"
"Liberia",3,"Jan",1944,23,"Jul",1971,FALSE,FALSE,"William Vacanarat Shadrach Tubman"
"Liberia",23,"Jul",1971,12,"Apr",1980,FALSE,FALSE,"William Richard Tolbert"
"Liberia",12,"Apr",1980,9,"Sep",1990,FALSE,TRUE,"Samuel Kanyon Doe"
"Liberia",9,"Sep",1990,22,"Nov",1990,FALSE,FALSE,"Prince Yormie Johnson"
"Liberia",9,"Sep",1990,22,"Nov",1990,TRUE,FALSE,"Charles Ghankay MacArthur Dapkpana Taylor"
"Liberia",9,"Sep",1990,22,"Nov",1990,FALSE,TRUE,"David Nimley"
"Liberia",2,"Sep",1990,7,"Mar",1994,FALSE,FALSE,"Amos Claudius Sawyer"
"Liberia",7,"Mar",1994,1,"Sep",1995,FALSE,FALSE,"David Donald Kpormakor"
"Liberia",1,"Sep",1995,3,"Sep",1996,FALSE,FALSE,"Wilton Gbakolo Sengbe Sankawulo"
"Liberia",3,"Sep",1996,2,"Aug",1997,FALSE,FALSE,"Ruth Sando Perry"
"Liberia",2,"Aug",1997,11,"Aug",2003,FALSE,FALSE,"Charles Ghankay MacArthur Dapkpana"
"Liberia",11,"Aug",2003,14,"Oct",2003,FALSE,FALSE,"Moses Zeh Blah"
"Liberia",14,"Oct",2003,16,"Jan",2006,FALSE,FALSE,"Charles Gyude Bryant"
"Liberia",16,"Jan",2006,22,"Jan",2018,FALSE,FALSE,"Ellen JohnsonSirleaf"
"Liberia",22,"Jan",2018,NA,NA,NA,FALSE,FALSE,"George Tawlon Manneh Oppong"
"Mali",15,"Apr",1959,22,"Sep",1960,FALSE,FALSE,"Modibo Keita"
"Mali",22,"Sep",1960,20,"Jan",1961,FALSE,FALSE,"Modibo Keita"
"Mali",20,"Jan",1961,19,"Nov",1968,FALSE,FALSE,"Modibo Keita"
"Mali",19,"Nov",1968,30,"Jun",1979,FALSE,TRUE,"Moussa Traore"
"Mali",30,"Jun",1979,26,"Mar",1991,FALSE,TRUE,"Moussa Traore"
"Mali",26,"Mar",1991,31,"Mar",1991,FALSE,TRUE,"Amadou Toumani Toure"
"Mali",31,"Mar",1991,8,"Jun",1992,FALSE,TRUE,"Amadou Toumani Toure"
"Mali",8,"Jun",1992,8,"Jun",2002,FALSE,FALSE,"Alpha Oumar Konare"
"Mali",8,"Jun",2002,22,"Mar",2012,FALSE,FALSE,"Amadou Toumani Toure"
"Mali",22,"Mar",2012,12,"Apr",2012,FALSE,TRUE,"Amadou Haya Sanogo"
"Mali",12,"Apr",2012,4,"Sep",2013,FALSE,FALSE,"Dioncounda Traore"
"Mali",4,"Sep",2013,NA,NA,NA,FALSE,FALSE,"Ibrahim Boubacar Keita"
"Mauritania",28,"Nov",1960,10,"Jul",1978,FALSE,FALSE,"Moktar Ould Daddah"
"Mauritania",10,"Jul",1978,6,"Apr",1979,FALSE,TRUE,"Mustafa Ould Salek"
"Mauritania",6,"Apr",1979,3,"Jun",1979,FALSE,TRUE,"Mustafa Ould Salek"
"Mauritania",3,"Jun",1979,4,"Jan",1980,FALSE,TRUE,"Mohamed Mahmoud Ould Louly"
"Mauritania",4,"Jan",1980,12,"Dec",1984,FALSE,TRUE,"Mohamed Khouna Ould Haidalla"
"Mauritania",12,"Dec",1984,18,"Apr",1992,FALSE,TRUE,"Maaouya Ould Sid"
"Mauritania",18,"Apr",1992,3,"Aug",2005,FALSE,FALSE,"Maaouya Ould Sid"
"Mauritania",14,"Oct",2012,24,"Nov",2012,FALSE,FALSE,"Moulaye Ould Mohamed Laghdaf"
"Mauritania",3,"Aug",2005,19,"Apr",2007,FALSE,TRUE,"Ely Ould Mohamed Vall"
"Mauritania",19,"Apr",2007,6,"Aug",2008,FALSE,FALSE,"Sidi Mohamed Ould Cheikh Abdellahi"
"Mauritania",6,"Aug",2008,15,"Apr",2009,FALSE,TRUE,"Mohammed Ould Abdel Aziz"
"Mauritania",15,"Apr",2009,5,"Aug",2009,FALSE,FALSE,"Ba Mamadou dit M"
"Mauritania",5,"Aug",2009,NA,NA,NA,FALSE,FALSE,"Mohamed Ould Abdel Aziz"
"Niger",10,"Nov",1960,15,"Apr",1974,FALSE,FALSE,"Hamani Diori"
"Niger",15,"Apr",1974,10,"Nov",1987,FALSE,TRUE,"Seyni Kountche"
"Niger",10,"Nov",1987,17,"May",1989,FALSE,TRUE,"Ali Saibou"
"Niger",17,"May",1989,18,"Dec",1989,FALSE,FALSE,"Ali Saibou"
"Niger",18,"Dec",1989,16,"Apr",1993,FALSE,FALSE,"Ali Saibou"
"Niger",16,"Apr",1993,27,"Jan",1996,FALSE,FALSE,"Mahamane Ousmane"
"Niger",27,"Jan",1996,7,"Aug",1996,FALSE,TRUE,"Ibrahim Bare Mainassara"
"Niger",7,"Aug",1996,9,"Apr",1999,FALSE,FALSE,"Ibrahim Bare Mainassara"
"Niger",9,"Apr",1999,11,"Apr",1999,FALSE,TRUE,"Djibrilla Hamidou Hima"
"Niger",11,"Apr",1999,22,"Dec",1999,FALSE,TRUE,"Daouda Malam Wanke"
"Niger",22,"Dec",1999,18,"Feb",2010,FALSE,FALSE,"Mamadou Tandja"
"Niger",18,"Feb",2010,7,"Apr",2011,FALSE,TRUE,"Salou Djibo"
"Niger",7,"Apr",2011,NA,NA,NA,FALSE,FALSE,"Mahamadou Issoufou"
"Nigeria",15,"Jan",1966,17,"Jan",1966,FALSE,TRUE,"Patrick Chukwuma Kaduna Nzeogwu"
"Nigeria",16,"Jan",1966,24,"May",1966,FALSE,TRUE,"Johnson Thomas Umunnakwe Aguiyi-"
"Nigeria",24,"May",1966,29,"Jul",1966,FALSE,TRUE,"Johnson Thomas Umunnakwe Aguiyi-"
"Nigeria",29,"Jul",1966,1,"Aug",1966,FALSE,FALSE,"Vacant"
"Nigeria",1,"Aug",1966,1,"Sep",1966,FALSE,TRUE,"Yakubu Cinwa Dan-Yumma Gowon"
"Nigeria",1,"Sep",1966,29,"Jul",1975,FALSE,TRUE,"Yakubu Cinwa Dan-Yumma Gowon"
"Nigeria",29,"Jul",1975,13,"Feb",1976,FALSE,TRUE,"Murtala Ramat Mohammed"
"Nigeria",14,"Feb",1976,1,"Oct",1979,FALSE,TRUE,"Olusegun Fajinmi Okikiolakan Aremu"
"Nigeria",1,"Oct",1979,31,"Dec",1983,FALSE,FALSE,"Shehu Usman Aliyu Shagari"
"Nigeria",31,"Dec",1983,27,"Aug",1985,FALSE,TRUE,"Muhammadu Buhari"
"Nigeria",27,"Aug",1985,26,"Aug",1993,FALSE,TRUE,"Ibrahim Badamasi Babangida"
"Nigeria",26,"Aug",1993,17,"Nov",1993,FALSE,FALSE,"Ernest Adegunle Oladeinde Shonekan"
"Nigeria",17,"Nov",1993,8,"Jun",1998,FALSE,TRUE,"Sani Abacha"
"Nigeria",9,"Jun",1998,29,"May",1999,FALSE,TRUE,"Abdulsalam Abubakar"
"Nigeria",29,"May",1999,29,"May",2007,FALSE,FALSE,"Olusegun Fajinmi Okikiolakan Aremu Obasanjo"
"Nigeria",29,"May",2007,5,"May",2010,FALSE,FALSE,"Umaru Musa Yar"
"Nigeria",9,"Feb",2010,29,"May",2015,FALSE,FALSE,"Goodluck Ebele Azikiwe Jonathan"
"Nigeria",29,"May",2015,NA,NA,NA,FALSE,FALSE,"Muhammadu Buhari"
"Senegal",5,"Sep",1960,31,"Dec",1980,FALSE,FALSE,"Leopold Sedar Senghor"
"Senegal",1,"Jan",1981,1,"Apr",2000,FALSE,FALSE,"Abdou Diouf"
"Senegal",1,"Apr",2000,2,"Apr",2012,FALSE,FALSE,"Abdoulaye Wade"
"Senegal",2,"Apr",2012,NA,NA,NA,FALSE,FALSE,"Macky Sall"
"Sierra Leone",19,"Apr",1971,21,"Apr",1971,FALSE,FALSE,"Christopher Okoro Elnathan Eustace Cole"
"Sierra Leone",21,"Apr",1971,28,"Nov",1985,FALSE,FALSE,"Siaka Probyn Stevens"
"Sierra Leone",28,"Nov",1985,29,"Apr",1992,FALSE,FALSE,"Joseph Saidu Momoh"
"Sierra Leone",30,"Apr",1992,1,"May",1992,FALSE,TRUE,"James Yahya Kanu"
"Sierra Leone",1,"May",1992,6,"May",1992,FALSE,TRUE,"Valentine Esegragbo Melvine"
"Sierra Leone",6,"May",1992,16,"Jan",1996,FALSE,TRUE,"Valentine Esegragbo Melvine Strasser"
"Sierra Leone",17,"Jan",1996,29,"Mar",1996,FALSE,TRUE,"Julius Maada Wonie Bio"
"Sierra Leone",29,"Mar",1996,25,"May",1997,FALSE,FALSE,"Ahmad Tejan Kabbah"
"Sierra Leone",26,"May",1997,17,"Jun",1997,FALSE,TRUE,"Johnny Paul Koroma"
"Sierra Leone",17,"Jun",1997,13,"Feb",1998,FALSE,TRUE,"Johnny Paul Koroma"
"Sierra Leone",13,"Feb",1998,17,"Sep",2007,FALSE,FALSE,"Ahmad Tejan Kabbah"
"Sierra Leone",17,"Sep",2007,4,"Apr",2018,FALSE,FALSE,"Ernest Bai Koroma"
"Sierra Leone",4,"Apr",2018,NA,NA,NA,FALSE,FALSE,"Julius Maada Wonie Bio"
"Togo",27,"Apr",1960,13,"Jan",1963,FALSE,FALSE,"Sylvanus Epiphanio Olympio"
"Togo",13,"Jan",1963,15,"Jan",1963,FALSE,TRUE,"Emmanuel Bodjolle"
"Togo",15,"Jan",1963,13,"Jan",1967,FALSE,FALSE,"Nicolas Ador Grunitzky"
"Togo",14,"Jan",1967,14,"Apr",1967,FALSE,TRUE,"Kleber Dadjo"
"Togo",14,"Apr",1967,5,"Feb",2005,FALSE,TRUE,"Etienne Eyadema"
"Togo",6,"Feb",2005,25,"Feb",2005,FALSE,FALSE,"Faure Essozimna Gnassingbe"
"Togo",25,"Feb",2005,4,"May",2005,FALSE,FALSE,"Abass Bonfoh"
"Togo",4,"May",2005,NA,NA,NA,FALSE,FALSE,"Faure Essozimna Gnassingbe"
